Words,taille_alphabet,taille_min_mots,taille_max_mots,Algorithm,Time
generate/mots_2_5_15.txt,2,5,15,ac-matrice,.103469911
generate/mots_2_5_15.txt,2,5,15,ac-hachage,.235863718
generate/mots_2_15_30.txt,2,15,30,ac-matrice,.100066010
generate/mots_2_15_30.txt,2,15,30,ac-hachage,.242322811
generate/mots_2_35_40.txt,2,35,40,ac-matrice,.101221990
generate/mots_2_35_40.txt,2,35,40,ac-hachage,.241174970
generate/mots_2_30_60.txt,2,30,60,ac-matrice,.107130460
generate/mots_2_30_60.txt,2,30,60,ac-hachage,.250957490
generate/mots_2_80_90.txt,2,80,90,ac-matrice,.112193013
generate/mots_2_80_90.txt,2,80,90,ac-hachage,.264133147
generate/mots_4_5_15.txt,4,5,15,ac-matrice,.085260069
generate/mots_4_5_15.txt,4,5,15,ac-hachage,.224456164
generate/mots_4_15_30.txt,4,15,30,ac-matrice,.092372355
generate/mots_4_15_30.txt,4,15,30,ac-hachage,.237884518
generate/mots_4_35_40.txt,4,35,40,ac-matrice,.099380968
generate/mots_4_35_40.txt,4,35,40,ac-hachage,.247373996
generate/mots_4_30_60.txt,4,30,60,ac-matrice,.096985824
generate/mots_4_30_60.txt,4,30,60,ac-hachage,.252141877
generate/mots_4_80_90.txt,4,80,90,ac-matrice,.104949345
generate/mots_4_80_90.txt,4,80,90,ac-hachage,.258356073
generate/mots_10_5_15.txt,10,5,15,ac-matrice,.081340280
generate/mots_10_5_15.txt,10,5,15,ac-hachage,.192792671
generate/mots_10_15_30.txt,10,15,30,ac-matrice,.095765860
generate/mots_10_15_30.txt,10,15,30,ac-hachage,.199249657
generate/mots_10_35_40.txt,10,35,40,ac-matrice,.087659151
generate/mots_10_35_40.txt,10,35,40,ac-hachage,.211649645
generate/mots_10_30_60.txt,10,30,60,ac-matrice,.091147784
generate/mots_10_30_60.txt,10,30,60,ac-hachage,.214961748
generate/mots_10_80_90.txt,10,80,90,ac-matrice,.096294116
generate/mots_10_80_90.txt,10,80,90,ac-hachage,.222853932
generate/mots_20_5_15.txt,20,5,15,ac-matrice,.065983776
generate/mots_20_5_15.txt,20,5,15,ac-hachage,.157080147
generate/mots_20_15_30.txt,20,15,30,ac-matrice,.078492778
generate/mots_20_15_30.txt,20,15,30,ac-hachage,.164107599
generate/mots_20_35_40.txt,20,35,40,ac-matrice,.075917975
generate/mots_20_35_40.txt,20,35,40,ac-hachage,.183537514
generate/mots_20_30_60.txt,20,30,60,ac-matrice,.077123723
generate/mots_20_30_60.txt,20,30,60,ac-hachage,.182473432
generate/mots_20_80_90.txt,20,80,90,ac-matrice,.087540594
generate/mots_20_80_90.txt,20,80,90,ac-hachage,.189227162
generate/mots_30_5_15.txt,30,5,15,ac-matrice,.059135774
generate/mots_30_5_15.txt,30,5,15,ac-hachage,.145643510
generate/mots_30_15_30.txt,30,15,30,ac-matrice,.064372403
generate/mots_30_15_30.txt,30,15,30,ac-hachage,.148512326
generate/mots_30_35_40.txt,30,35,40,ac-matrice,.067388269
generate/mots_30_35_40.txt,30,35,40,ac-hachage,.150490001
generate/mots_30_30_60.txt,30,30,60,ac-matrice,.069580211
generate/mots_30_30_60.txt,30,30,60,ac-hachage,.157530960
generate/mots_30_80_90.txt,30,80,90,ac-matrice,.074304842
generate/mots_30_80_90.txt,30,80,90,ac-hachage,.179451817
generate/mots_40_5_15.txt,40,5,15,ac-matrice,.063204690
generate/mots_40_5_15.txt,40,5,15,ac-hachage,.142047680
generate/mots_40_15_30.txt,40,15,30,ac-matrice,.067046381
generate/mots_40_15_30.txt,40,15,30,ac-hachage,.147728213
generate/mots_40_35_40.txt,40,35,40,ac-matrice,.067672445
generate/mots_40_35_40.txt,40,35,40,ac-hachage,.145908771
generate/mots_40_30_60.txt,40,30,60,ac-matrice,.070825116
generate/mots_40_30_60.txt,40,30,60,ac-hachage,.150311835
generate/mots_40_80_90.txt,40,80,90,ac-matrice,.080232588
generate/mots_40_80_90.txt,40,80,90,ac-hachage,.172893220
generate/mots_50_5_15.txt,50,5,15,ac-matrice,.071231697
generate/mots_50_5_15.txt,50,5,15,ac-hachage,.144959039
generate/mots_50_15_30.txt,50,15,30,ac-matrice,.067182278
generate/mots_50_15_30.txt,50,15,30,ac-hachage,.149126790
generate/mots_50_35_40.txt,50,35,40,ac-matrice,.071880683
generate/mots_50_35_40.txt,50,35,40,ac-hachage,.163406961
generate/mots_50_30_60.txt,50,30,60,ac-matrice,.078433119
generate/mots_50_30_60.txt,50,30,60,ac-hachage,.176576139
generate/mots_50_80_90.txt,50,80,90,ac-matrice,.081095931
generate/mots_50_80_90.txt,50,80,90,ac-hachage,.192562299
generate/mots_60_5_15.txt,60,5,15,ac-matrice,.073591606
generate/mots_60_5_15.txt,60,5,15,ac-hachage,.138904859
